Fruit;Decription
Mûrier noir;Le mûrier noir produit des mûres peu consommées aujourd’hui. De quelques centimètres de long seulement, ces mûres sont très pigmentées. Elles sont également fragiles et périssables. Le mûrier noir a des saveurs plaisantes aussi sucrées et qu'acidulées. Ces mûres nous venant premièrement du continent asiatique sont toujours noires ou violet foncé.
Mûrier rouge;Les mûres du mûrier rouge viennent d’Amérique du Nord. Sucrées, ces baies varient du rouge au violet foncé. Elles sont d'une forme allongée de deux ou trois centimètres. Le mûrier rouge peut donner des hybrides en se croisant avec le mûrier blanc. Elle ressemble, de façon allongée, à la mûre du genre Rubus.
Myrobolan;Le myrobolan est une drupe de trois centimètres de diamètre. Sa couleur passe du jaune au rouge. Ce type de prune est comestible, malgré un goût aigre et fade. Aqueuse, on cueille cette prune à partir de début juillet jusqu’à mi-septembre. Le myrobolan provient du sud-est européen et de l’Asie.
Myrtille;Provenant d’Europe et d’Asie, la myrtille pousse habituellement à l’état sauvage sous forme de grappes bleu nuit. D’environ 8 millimètres de diamètre, elle pourrait se confondre avec le bleuet. Riche en vitamine C et potassium, ce fruit fragile renferme aussi plusieurs acides dits astringents. Elle fait partie de la famille des airelles.
Narangille;La narangille est un fruit rond. Orange et brillante à l’extérieur à maturité, elle permet d’obtenir un jus vert acide. Souvent, on la dégustera de la sorte, mais on peut aussi en faire des confitures ou l’inclure dans des pâtisseries. Elle possède quatre segments très pulpeux renfermant de nombreux et minuscules pépins.
Nashi;Cette pomme-poire asiatique est arrivée récemment sur les étals. C’est un fruit à chair blanche ayant la rondeur d’une pomme et la peau d’une poire épaisse dont on se débarrasse. Son goût subtil est un mélange des deux, croustillant et sucré. Les nashis ne mûrissent plus après leur cueillette.
Nèfle;Fruit du néflier commun, qu’il ne faut pas confondre avec la nèfle du Japon, possède une couleur brune et cinq gros pépins. Son diamètre peut atteindre cinq centimètres. Il a une forme de toupie avec des dents. Elle est consommée après les gelées d’automnes et après blettissement, dont le goût se rapproche de la pomme.
Nèfle du Japon;Ce fruit du Japon est désormais popularisé. La nèfle, piriforme, pousse en grappes de plusieurs centimètres. Sa chair crème est aigrelette et juteuse. Son goût peut évoquer la cerise ou la prune. Elle a une acidité qui disparaît au fur-et-à-mesure qu’elle murit. Les pépins noirâtres qu’elle renferme ne sont pas comestibles.
Noix de bétel;La noix d’arec, ou noix de bétel, vient d’un palmier d’Asie. Sa graine est consommée fraîche, séchée ou cuite dans l’eau bouillante. La chair de la noix d’arec est de couleur brunâtre et aplatie à l’une des extrémités. C’est une noix de petite taille, environ six centimètres, de couleur verte, puis jaune et orange.
Noix de coco;Issue du palmier, la noix de coco n’est pas uniquement d’utilité alimentaire. En grappe de cinq drupes, les noix de coco sont entourées d’une coque fibreuse qu’il faut casser. Sa pulpe interne, juxtaposée à la coque, abrite en son centre un liquide blanc, translucide, sucré et rafraîchissant. Sa chair délicieuse est croustillante.
Nono;Les fruits du nono varient du vert, au jaune, et enfin jusqu’à une couleur blanchâtre. Ils ont un parfum fort, parfois désagréable, et un goût amer. On en extrait leur jus pour les déguster. Leur forme ovoïde ressemble à celle d’une pomme de terre bossue, avec des pépins semblables aux pignons de pins.
Olive;Fruit charnu d’un arbre très reconnu, il n’est cependant pas mangeable directement après la cueillette. L’olive irrite le système digestif telle quelle. Elle doit être macérée et son noyau ôté avant sa dégustation. Verte ou noire, une fois son amertume retirée, elle est d’aspect luisant et ravit les papilles dans les plats salés.
Orange;L’orange est un agrume provenant d’un arbre fruitier appelé oranger. Cultivée principalement en Espagne, au Maroc et en Afrique du Sud, elle se consomme crue ou en jus. Sous sa peau brillante et rugueuse se trouve une pulpe dense, orange et parfumée, délicieusement sucrée et riche en vitamine C.
Pain de singe;Ce fruit comestible provient du baobab africain. Sa pulpe légère et friable, est très acide et est entourée d'une peau épaisse qui n’est pas exploitée. Il fait partie des fruits les plus riches en vitamine C. Ayant des airs de piment brun, on consomme le pain de singe en jus et en nectar.
Palmier pêche;Les parépous, fruits du palmier pêche, virent du vert au jaune, et au rouge-orangé lors de leur pleine maturation. Ayant une longueur avoisinant les six centimètres, ses traits légèrement anguleux laissent dévoiler six faces. Il fait partie de la plupart des coeurs de palmier exportés et sont dégustés crus, grillés ou en conserve.
Papaye;Fruit péruvien, la papaye pousse sur un arbrisseau et ressemble à un melon. Plus allongé que ce dernier, elle mesure une dizaine de centimères, est ornée d’une peau au toucher satin du vert au jaune en mûrissant. Parsemée de rayures pourpres, elle contient une chair orangée davantage sucrée que celle du melon, et des graines centrales comestibles.
Pastèque;Ce fruit rafraîchissant est principalement composé d’eau. Très appréciée autour du bassin méditerranéen, elle est plutôt sphérique ou parfois oblongue et pèse quelques kilos. Ses graines sont généralement noires. Il s’agit d’une variété de melon de couleur vert foncé avec des taches plus claires, dont la chaire croustillante est principalement rouge et friable.
Pêche;Originaire de Chine, ce fruit doux est semblable à l'abricot et à la prune. Sa peau comestible est duveteuse et sa couleur est généralement cramoisie. La variété à chair jaune est moins fragile mais moins juteuse et sucrée. On peut en consommer l’amande, mais en faible quantité, car elle renferme de l’acide cyanhydrique.
Pepino;Originaire du Pérou, ce nouveau fruit pour les occidentaux vient de la famille de la tomate. Il a des airs de petit melon en étant légèrement plus long, avec une fine peau satinée. Allant du vert au jaune en mûrissant, il a des rayures pourpres. Il a une chair plus sucrée que le melon et de la même couleur.
Phalsa;Le phalsa est une drupe d’Asie tropicale. L’arbre est cultivé exclusivement pour son fruit. Pigmenté de rouge et de violet, il ne mesure pas plus de deux centimètres de diamètre. Acidulé, il se consomme cru, en sirop. Sa pulpe constitue presque les trois quarts du fruit, et il ressemble à une petite groseille.
Physalis;Différents noms désignent la physalis, comme celui de lanterne chinoise ou de cerise de terre. L’alkékenge, fruit asiatique apparenté à la tomate et l’aubergine, a un aspect décoratif avec une fine feuille qui le recouvre, ressemblant à un abat-jour en papier couleur sable. Baie rouge de la taille d’une cerise, il a un goût acidulé.
Poire;Cultivée depuis plusieurs milliers d’années, la poire pousse dans des pays tempérés. Sa forme est oblongue et sa partie distale, opposée au pédoncule, est davantage enflée. Sa fine peau est comestible, et tire habituellement du jaune au vert. Sa chair est blanche et peu juteuse. Elle ne mûrit pas bien sur le poirier car elle devient sablonneuse.
Pomme;La pomme est un fruit issu d’un arbre fruitier appelé pommier. Originaire du Kazakhstan à la préhistoire, la pomme est à présent cultivée dans de nombreux pays, même si la Chine reste son principal producteur. De forme sphérique et de couleur variée, la pomme est peu calorique, chargée d’eau et de fibres. Sa fine peau cache une chair consistante qui se consomme crue, cuite ou en jus.
Pomme de cajou;La pomme de cajou est un fruit charnu. Provenant du pédoncule, comestible, il vient du Brésil. Ce faux-fruit en forme de poire porte à sa partie distale la noix de cajou, renfermant l’amande comestible. Il a une chair effilée, juteuse et acide, et son jus est très fortement pigmenté.
Pomme de lait;La caïmite, pomme de lait ou pomme étoile, a effectivement une taille de pomme. Sa peau est froissée, est verte et fine, ou violet foncé et épaisse selon la variété. La variété verte est plus juteuse. La chair est farineuse et contient des pépins à ôter. Elle se consomme fraîche ou en jus.
Pomme étoile blanche;Ce fruit tout rond a une peau lisse et luisante. Sa peau épaisse et souple abrite une pulpe blanchâtre, translucide et particulièrement juteuse. Enrobés, ses pépins noirs sont disposés en étoile et ne se mangent pas. Fraîche ou en jus, la pomme étoile a une saveur douce et discrète. Elle rafraîchit les gourmands.
Pomme malacca;La pomme malacca, ou pomme d’eau, est une drupe du Sud-Est asiatique. Comestible, elle a un parfum envoûtant. Sa forme évoque celle de la poire, mais elle a une peau luisante et irrégulière. Rose ou rouge vif, son intérieur est croquant et juteux. Rafraîchissante et douce, elle contient peu de sucre et un noyau rond.
Prune;Cultivée depuis la préhistoire, la chair de la prune peut être tantôt rouge, tantôt jaune ou orangée. Recouverte d’une peau fine et composée d’un noyau central, elle est parfumée et plus ou moins acidulée selon la variété, avec un goût sucré prononcé. En France, la reine-claude, la mirabelle, la questche et la prune d’Agen en sont les plus commercialisées.
Prune de Cythère;Cultivée dans les pays tropicaux comme la Polynésie, et appelée pomme citerne en Nouvelle-Calédonie, la pomme Cythère est charnue. Colorée de jaune ou d’orange et ovoïde, elle fait moins de dix centimètres de long. Contenant majoritairement de l’eau, elle est source de vitamine C et se consomme crue ou cuisinée.
Prune du Natal;La prune de Natal est un fruit d’Afrique du Sud. Elle se mange crue car elle possède une forte teneur en sucre. Acidulée, elle est aussi rafraîchissante et riche en vitamine C. Elle se consomme également en confitures et gelées. Ce fruit ressemble à une cerise dure et bien rose.
Prune mombin;Les mombins peuvent être utilisés dans la recette du punch. Ayant une forme ovoïde, il s’agit d’une drupe de couleur jaune. Sa taille varie entre celle de la prune et du citron. Sa peau, coriace, entoure une pulpe très fine et un gros noyau. Cette chair a une saveur appétissante, acidulée et suave à l’odorat.
Quenette;Ce fruit ovoïde à la peau lisse et fine contient une pulpe adhérant à son noyau. La quenette ressemble à un citron vert de petite taille, et devient brillante à maturité. Sa chair rosée est gélatineuse et translucide. Riche en sucre, elle a des notes acides. On pèle la quenette et la cuit à l’eau pour en faire du sirop.
Raisin;Faisant partie des fruits les plus anciens et épandus, ces grains sont ronds et plus ou moins charnus, regroupé en grappes. La couleur de la baie peut être verte, jaune clair ou violette. Leur pulpe tonique et sucrée sera plus ou moins acidulée selon la variété. Le grain contient des pépins comestibles.
Raisinier bord de mer;Ce fruit comestible est une drupe ressemblant superficiellement à des grappes de raisin. Le fruit a également la taille d’un grain de raisin. Vert, il devient pourpre à maturité, et renferme un noyau central dur. Sa pulpe est acide mais également douce, donnant du jus frais, ou du vin si fermentée.
Ramboutan;Ce fruit poussant en grappes provient de la Malaisie. Sa coque fragile rougeâtre donne naissance à de multiples pointes tendres et crochetées lui donnant l’aspect d’un oursin. Sa pulpe contient un jus blanc et translucide ressemblant à celui du litchi. Sa saveur sucrée peut être aigrelette et est moins appuyée que celle du litchi.
Reine-Claude;La reine-claude est une prune à la couleur verte et a un aspect arrondi. Sa chair et très sucrée et parfumée. Elle contient beaucoup de jus et se récolte entre juillet et août. Elle a été créée en France et nommée en hommage à la reine Claude de France, mariée à François Ier.
Roselle;L’oseille de Guinée, ou roselle, pousse en zone tropicale. Les fleurs sont utilisées en jus pour des boissons rafraîchissantes une fois séchées et bouillies pendant quelques minutes. Ce sirop possède un parfum devenant la boisson nationale de plusieurs pays africains. Ses feuilles permettent aussi l’obtention de purées ou sauces acides.
Safou;Le safou provient d’Afrique. Il a des teintes rose clair à bleu marine, ce qui définit chacune des variétés. Sa chair enveloppe un noyau central. Cette dernière est réputée pour être grasse, équivalente à la teneur en acide gras de l’avocat. Le safou se consomme plutôt cuit mais également séché.
Salak;Fruit serpent, le salak est cependant comestible. Ovale, cette drupe mesure moins de huit centimètres. Des écailles brunâtres et larges, évoquant ce nom animalier, recouvrent sa pulpe blanche. Le salak se cultive dans le sud des pays asiatiques. Sa texture peut être juteuse ou très sèche selon la variété.
Sapote;La sapote est un grand fruit possédant une peau brune. Coriace et rugueuse, elle est cependant sensible au froid. Elle a une pulpe intérieure rose saumon dont la texture peut s’assimiler à celle de l’avocat. Une fois les graines ôtées, on déguste avec émerveillement sa saveur douce et fortement sucrée.
Sapote blanche;Le fruit du pommier mexicain est une drupe ovoïde de quelques centimètres de diamètre. Elle est enveloppée dans une peau fine qu’il faut retirer avant dégustation. Premièrement verte, elle devient jaune à maturité. Sa pulpe peut ressembler gustativement à la pêche ou la vanille. De couleur blanc crème, elle abrite quelques graines ayant des propriétés pharmacologiques.
Sapotier noir;La sapote noire est un fruit topical du Mexique et d’Amérique centrale. Fruit de forme ovale, sa couleur est brune. Son goût délicieux est chocolaté. Souvent cuite, on peut également la manger crue si elle et mûre et blette. La sapote noire est moins sucrée que sa voisine, la sapote blanche.
Sapotille;Ce fruit fragile d’Amérique centrale mesure quelques centimètres de diamètre et bien qu’il ait une forme arrondie, son extrémité distale est affinée. La sapotille ressemble à un oeuf, a une écorce particulièrement rugueuse et brunâtre qui se pèle. Fondante, sa chair translucide jaune et rouge est comparée au miel et à l’abricot.
Sureau;Cette plante du Canada donne des fleurs et une baie comestibles. Prisée pour ses vertus, cette éclatante baie possède un goût savoureusement fruité. Poussant sur des tiges violacées, de forme ronde et de couleur violette, elle possède des anti-viraux et anti-inflammatoires naturels. Il ne faut cependant pas la confondre avec d’autres « sureaux » toxiques.
Taal;Le taal ou targola est un fruit méconnu poussant en grappes. Il a une chair gélatineuse et une peau couleur brune et rigide. Chaque fruit a des graines ressemblant à de la gelée. La chair libère un jus sucré et rafraîchissant. En Inde, le taal sert aussi à faire des boissons locales alcoolisées.
Tamarin;Le tamarin est un fruit sec tropical ayant de multiples propriétés. Originaire d’Afrique de l’est, il a la forme d’un gros haricot bossu et brunâtre. Ses graines sont séparées par une chaire fibreuse. Sa pulpe acide et sucrée parfume les plats ou est utilisée sous différentes formes, comme le sirop ou la pâte de fruit.
Tomate en arbre;La tomate en arbre, ou tomatille, offre des fruits ovoïdes et brillants. De couleur orange vif, elle provient d’Amérique centrale. Ressemblant à des oeufs de poule, ils sont comestibles. Il a un goût à la fois acide et sucré, émanant de la tomate et du kiwi mélangés. Sa peau amère surplombe la chair orange et criblée de graines noires.
Tomatille;Le fruit de la tomatille a des airs de tomate verte purpurescente. Recouverte par un léger voile, ce dernier se déchire à la maturité du fruit. Il ressemble à du papier, et entoure la peau qui devient violette, puis brune. Son odeur rappelle le fromage, et une pellicule visqueuse l’entoure.
Vavangue;Ce fruit arrondi qu’est la vavangue a d’abord une couleur vert clair avant de devenir brune à complète maturité. Elle renferme une pulpe également brunâtre. Son goût est plutôt acidulé. Cinq graines y sont présentes. Elle est cultivée dans les îles des tropiques et a un deuxième nom aux Antilles : le Tamarin de l’Inde.
Wampi;Le wampi, également orthographié vampi, est un agrume. Originaire d’Asie, il est aussi gros qu’un grain de raisin et possède une couleur jaune. Oblong ou conique, il a une chair succulente, douce, légèrement acide et de couleur blanche et jaune. Le wampi est divisé en cinq segments comprenant une à cinq graines épaisses.
